Job Title,Company Name,Location,Full-time / Part-time,Sector or Industry,Number of Applicants,Job Description
Content Contributor for Data Collection Study,TransPerfect,"Cairo, Egypt",Contract · Entry level,null,14 applicants,"About the job
Work from anywhere, anytime with virtually no training or technical expertise!

DataForce is a diverse and rapidly growing community of over 1.3 million people worldwide who enjoy the flexibility and financial benefits of working from anywhere and being part of the most exciting developments in tech and AI. Sign up in less than five minutes and you can choose when and how much you work."
Retention Specialist,Udacity,Egypt,Full-time,null,Over 200 applicants,"About the job
Udacity is on a mission to change lives, businesses and nations through radical talent transformation in digital technologies. We offer a unique and immersive online learning platform, powering corporate technical training in fields such as Artificial Intelligence, Machine Learning, Data Science, Autonomous Systems, Cloud Computing and more."
"Content Executive, Moderator",dentsu international,"Cairo, Cairo, Egypt",Full-time · Associate,null,65 applicants,"About the job
Job Title

Content Executive, Moderator

Job Description



Cairo



Digital Republic Linked By Isobar



Full time



Permanent"
Catalogue Manager,IBM,"Cairo, Cairo, Egypt",Full-time,null,27 applicants,"About the job
533171BR

Introduction

At IBM, work is more than a job - it's a calling- To build, To design, To engage, To consult, To think along with clients and stay proactive and To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems with those amazing Catalogue / Contract Manager skills? If so, lets talk.

We are looking for a responsible Contract Administrator to join our team. Your main duties will be to prepare, negotiate and review contracts



* Develop, negotiate, and evaluate company contracts / catalogues on behalf of an organization *









NA



IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.



Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.



IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.



IBM wants you to bring your whole self to work and for you this might mean the ability to work flexibly. If you are interested in a flexible working pattern, please talk to our recruitment team to find out if this is possible in the current working environment.



IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Order Fulfilment Analyst,Nestlé,"Cairo, Cairo, Egypt",Full-time,null,76 applicants,"About the job
Position Snapshot

Location: Cairo, Egypt

Company: Nestlé Egypt

1 Year Contract



The Order Fulfillment Analyst is responsible for the effective management of the stock allocation process, including proactively reviewing demand & supply simulations and executing customer behavior analysis. As well as collaborate across market functions to align on actions to mitigate risk and impact, while enhancing the business' ability to provide proactive communication to customers in need for out-of-stock situations."
"ETIC, SAP Infrastructure / Basis / Security - Associate (Egypt)",PwC Middle East,"Cairo, Cairo, Egypt",Full-time · Associate,null,11 applicants,"About the job
Line of Service

Advisory

Industry/Sector

Technology



Advisory - Other



Associate





PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit a SAP Infrastructure / Basis / Security specialist to join our team in Cairo. The successful candidate will have a minimum of 2 years experience in delivering SAP (ECC and S/4HANA) integrated solutions

You will report to the SAP Leader and work alongside PwC Team Members in Cairo as well as those working on client projects across the PwC Global Network, including the UK, Germany and Middle East.













Degrees/Field of Study preferred:











Not Specified



Yes



No"
Video Data Collection for Arabic speakers in Egypt,Appen,"Giza, Al Jizah, Egypt",Part-time · Associate,null,53 applicants,"About the job
Participate in a project that aims to make Artificial Intelligence work for everyone. Representation from all complexion types is required for this project so a qualifying skin tone question is asked to ensure that all groups are captured.
This study will require you to receive a package to your home address which contains a kit of toy letters and shapes and shoot 250 short videos of 10-45 seconds each that show case everyday objects you find in your home. Your videos will be scripted so if you can follow instructions and have a phone you are perfect for this project."
Oracle HCM Section Manager.,DMG | Mountain View,"Cairo, Egypt",Full-time · Mid-Senior level,null,85 applicants,"About the job
Job Scope:
· Perform solution requirements gathering architecture, design, testing and implementing work.
· Perform and follow-up all related tasks that impact the applications implementations and support."
Project Opening in Egypt!,Appen,Egypt,Part-time · Entry level,null,Over 200 applicants,"About the job
We are seeking individuals in Egypt who are looking for an exciting work from home opportunity. Our mission is to deliver the best data solutions and expertise to developers of AI for communication, driven by our passion for innovation and our love of languages."
"ETIC, SAP Solution Architect - Senior Manager (Egypt)",PwC Middle East,"Cairo, Cairo, Egypt",Full-time · Mid-Senior level,null,11 applicants,"About the job
Line of Service

Advisory

Industry/Sector

Technology



Advisory - Other



Senior Manager





PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit a SAP Solution Architect to join our team in Cairo. The successful candidate will have a minimum of 8 years experience in scoping, designing and overseeing the delivery of complex SAP (ECC and S/4HANA) centred, high value solutions. They will be a recognised expert in their field within the local SAP market; providing valued thought leadership and opinion. They will carry a well established professional network, and have strong alliances into the SAP ecosystem.

You will report to the SAP Service Delivery Director and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East

As an SAP Solution Architect, you will play a key role in the following areas:







Degrees/Field of Study preferred:











Not Specified



Yes



No"
H&D Offer Manager,Schneider Electric,"Cairo, Cairo, Egypt",Full-time · Associate,null,34 applicants,"About the job
Who are we and what we stand for?

When you work for Schneider Electric you work for a company that is passionate about its people. Our people vision says, Great people make Schneider Electric a great company. We are proud to promote purpose, diversity, inclusion, learning and work-life integration – we’re a great place to work and we are continually striving to be the best place to work!









Full-time

007RCV"
Talent Acquisition Partner (6 Months Contract),IBM,"Cairo, Cairo, Egypt",Full-time,null,1 applicant,"About the job
532614BR

Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.



The Talent Acquisition Partner (TAP) is responsible for the development of recruiting plans, employing traditional sourcing strategies as well as developing new innovative recruitment approaches to support IBM Consulting. We are looking for a TAP that can excel in a fast-paced corporate environment with demonstrated experience in sourcing, screening, qualifying, interviewing and candidate relationship management. In lieu of this experience, a high performing Talent Acquisition support professional with a desire to usher in IBMers of tomorrow, and a passion to serve the client, is welcomed. This role is responsible for providing strategic recruitment support for the IBM Services area. The role will be supporting on our priority growth areas like AI, SAP, Microservices, and Blockchain to name a few. The TAP will execute external recruiting, act as the key contact for Early Professional candidates, drive recruiting strategies, and build/maintain client relationships. You will interface with business leaders to deliver qualified talent to fill critical roles and provide market intelligence to drive recruiting business outcomes. Overall, this position plays a critical role in ensuring that the best possible talent will be hired through a partnership with the Business Leaders and Talent Acquisition.











Experience supporting the Technology Service Centers, in IBM similar organizations preferred

Exposure to university and graduate programs preferred.



IBM Corporate Headquarters (CHQ) team represents a variety of functions such as marketing, finance, legal, operations, HR, and more, all working together to solve some of the world's most complex problems, help our clients achieve success and build collaborative work environments for IBMers.



Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.



IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.



For additional information about location requirements, please discuss with the recruiter following submission of your application.



IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
Account Advisor II - Content,talabat,"Qesm El Maadi, Cairo, Egypt",Full-time · Associate,null,Over 200 applicants,"About the job
When you think of food delivery in the MENA region, we’d be pretty surprised if talabat didn’t pop into your mind first! Since delivering our first order in Kuwait in 2004, we’ve grown quite a lot over the past 17 years.

Today, we deliver hundreds of millions of food orders, grocery items and other products per year, to our customers in nine countries throughout the region with more than 3,000+ employees! Our food delivery business works with over 27,000 brands and almost 50,000 branches, while our q-commerce concept, talabat mart, now delivers groceries to customers in Bahrain, Egypt, Jordan, Kuwait, Oman Qatar, and the UAE in 30 minutes or less!

Our philosophy is to make sure we do what is right for our ecosystem - our customers, our partners, our people, our riders, and the communities in which we operate. Our #techforgood program allows our customers a safe and convenient way to contribute to important causes in their community through donating to local and international charities directly on talabat with a focus on food insecurity in the region. Since its inception in 2020, we have facilitated the donation of well over 1 million meals to those in need, as well as donated over $1.5 million to charity with the help of our partners and customers. talabat is part of Delivery Hero, the global leader in online food delivery and q-commerce.



Account Advisor II - Content is responsible for updating and making sure that the information related to all the existing vendors is up to date, in addition to adding the new vendor's data is accurate on the application."
Staff Consultant WWCC GMC,VMware,"Cairo, Cairo, Egypt",Full-time,null,8 applicants,"About the job
The Elevator Pitch: Why will you enjoy this new opportunity?

The most advanced companies in the world turn to VMware to manage, grow, and transform their business. When you work here, you’re connected to a global community of innovative, empowered employees working together to solve the most critical technology challenges. The World Wide Consulting Centers (WWCC) organization aims at providing a centralized world class professional services delivery through the a global BU with co-located sites that drives adoption and improved margin at scale.

Part of the WWCC is the Global Migration Center (GMC) whose main focus is accelerating customer journeys by providing technology-driven services using specialized tool chains and skilled resources committed to rapidly delivering successful application workload rehosting engagements such as P2V, V2V, V2C as well as VMC on AWS and Azure.

As a Staff Consultant, you have the opportunity to join our growing project delivery practice, focusing on GMC activities. Become a member of our collaborative and supportive work environment and help us drive innovation!





The ideal candidate will need to be able to understand the customers vision and to

be able to translate this to desired business outcomes and the IT solutions which underpin them









The hiring manager for this role is Mohamed Mortada, Senior Manager, WWCC. His expertise has been shaped by 12 years in the IT industry in Delivery roles both technical and project management based then for the last 7 years straight in regional delivery management across Europe.

Mohamed’s management style is based on enablement and empowerment. As part of his team, you will be sharing both the success of the group as well as the responsibilities thus maximizing your contribution to the progress of the BU and allowing you to grow and sharpen your skills profile.

The team is made of project managers and technical consultants, all operating on the frontline with our customer, sales teams and technical staff within VMware in Europe, the Middle East and Americas. The team works flexible hours without alignment to a certain region or Geo and every individual is expecting to rotate between the mentioned Geos iteratively.



This role is based out of VMware’s Cairo (Egypt) office and is open to candidates in the surrounding Egypt.



You and your loved ones will be supported with a competitive and comprehensive benefits package. Below are some highlights, or you can view the complete benefits package by visiting www.benefits.vmware.com.



Services and Consulting

Consultant

Business Leadership

Full Time

2022-03-08

VMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what’s possible today at http://careers.vmware.com.

Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law."
Beauty Consultant Faces- Egypt,Chalhoub Group,"Cairo, Cairo, Egypt",Full-time · Associate,null,26 applicants,"About the job
Who We Are

We are a leading partner for luxury across the Middle East. With more than 600 stores, 300 brands and over 65 years of experience in the region, we have become a major player in the beauty, fashion and gift sectors, by offering service excellence to our partners and delighting all our customers. We are moving fast from a traditional distributor and retailer for luxury in the Middle East, to a hybrid retailer bringing luxury experiences to the fingertips of customers everywhere.

To fuel the next stage of our growth we are looking to build a world class team. From physical retail through to supply chain and customer loyalty, we aim to use technology and data to continuously improve every aspect of our operations. We are looking for top talent to join us on this journey of exploring new horizons together.



Our Beauty Consultant is responsible for delivering outstanding customer service to all customers and to use appropriate sales techniques and product knowledge to reach sales targets. Our Beauty Consultant is accountable for counter cleanliness, stock replenishment, handling new launches, promotion of products and merchandising. Our Consultant is also required to maintain high levels of standards in terms of grooming.





With us, you will turn your aspirations into reality. We will help shape your journey through enriching experiences, learning and development opportunities and exposure to different assignments within your role or through internal mobility. Our Group offers diverse career paths for those who are extraordinary, every day.

We recognise the value that you bring, and we strive to provide a competitive benefits package which includes health care, child education contribution, remote and flexible working policies as well as exclusive employee discounts. To view all our perks and benefits, click here."
Cloud Solution Architecture Manager,Microsoft,"Cairo, Cairo, Egypt",Full-time,null,61 applicants,"About the job
Microsoft is on a mission to empower every person and every organization on the planet to achieve more. Our culture is centered on embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. In doing so, we create life-changing innovations that impact billions of lives around the world. You can help us to achieve our mission.

Microsoft aspires to help our customers achieve their own digital transformation, leveraging the power of Microsoft Cloud and Edge solutions and support offerings. To this end, Microsoft invests in a dedicated Customer Success team that will help Microsoft customers successfully realize their business outcomes.

To learn more about Microsoft’s mission, please visit: https://careers.microsoft.com/mission-culture

Check out all our products at: http://www.microsoft.com/en-us



People Management

Understanding Customer/Partner Technical Environment

Architecture Design and Deployment

Practice Development

Trusted Advisor

Thought Leadership

Customer Usage





Required/Minimum Qualifications



Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Gender & SBC Senior Technical Advisor - Egypt,FHI 360,"Cairo, Egypt",Full-time · Mid-Senior level,null,15 applicants,"About the job
FHI 360 is seeking applications for a Gender & SBC Senior Technical Advisor for an anticipated USAID project in Egypt focused on family planning. The Gender & SBC Senior Technical Advisor will assist the Chief of Party in ensuring the overall success of the project and will be responsible for managing the technical direction and integration of gender-transformative and gender-sensitive components throughout the project operations and implementation. Provides technical assistance, direction and support related to the development and implementation of SBC strategies across a range of health and development areas in all phases from formative research through design, media and material production, community mobilization and engagement, and evaluation. The position will be based in Egypt and will report to the COP. Responds to the specified deliverables and goals of contracts and grant agreements, ensuring achievements in a timely manner and in full support and compliance with FHI 360 contractual agreements."
Customer Service officer,Majid Al Futtaim,Egypt,null,null,172 applicants,"About the job
Role Purpose

The position is mainly responsible for the day to day smooth operations of the Customer Service Information Desk / booth ensuring that all customer service related activities is carried out in accordance with the prescribed policies and guidelines and the services provided are of the highest level standards to ensure a pleasant customer experience."
Buy to Pay Accountant - Process Associate - English-HMS015444,Genpact,"Cairo, Cairo, Egypt",Full-time · Entry level,null,129 applicants,"About the job
With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.

Inviting applications for the role of Buy to Pay Accountant Process Associate - English!

This role will involve running operational processes, being main point of contact for the client business and partnering with client’s teams. In this role, you will be responsible for the review of the accounting aspects related to reconciliations and supplier statement of account.





Minimum qualifications



Shift

Day Shift, Sun-Thu

What can we offer?

Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.



Process Associate



Egypt-Cairo



Full-time



Bachelor's / Graduation / Equivalent



Mar 16, 2022, 4:28:03 PM



Ongoing



Operations



Full Time"
"Executive Assistant to Chair, Construction Engineering Department",The American University in Cairo,"Cairo, Egypt",Full-time · Mid-Senior level,null,Over 200 applicants,"About the job
Reports to: Department Chair
Purpose: The job holder will oversee, coordinate and implement a variety of departmental academic and student programs, which include budgeting, program implementation, record keeping and supervision of administrative staff under the direction of the department chair. He/she will be acting as a coordinator for faculty affairs which include but is not limited to overseeing procedures of promotion/tenure cases, faculty recruitment. Due to the nature of the academic department, this job acts as an advisor to the chair for all administrative aspects.."
Content Manager,dentsu international,"Cairo, Cairo, Egypt",Full-time · Associate,null,33 applicants,"About the job
The purpose of this role is to fulfil the content requirements of all clients. Leads conception, planning and delivery of content that brings great ideas to life across all solutions.

Job Title

Content Manager







Cairo



Digital Republic Linked By Isobar



Full time



Permanent"
HR Reward & Analytics Specialist – Middle East & North Africa (ME/NA) - Location Free,Beiersdorf,Egypt,Full-time · Associate,null,Over 200 applicants,"About the job
Beiersdorf ME/NA
NIVEA, Eucerin, Labello and 8x4 are just a few examples of the Beiersdorf range of brands which are successful all over the world. Across the Middle East & North Africa Region, our brands hold many no. 1 market positions. We strive to reinforce these positions by growing in strategically selected markets and convincing our customers by continuously providing the latest product innovations. In this regards we continue to count on intensive research, state-of-the-art technologies, perfect marketing strategies and above all our competent and dedicated employees."
Social Content Producer - ShopCash,Wego.com,"Cairo, Egypt",Full-time · Associate,null,32 applicants,"About the job
ShopCash team is looking for a talented Social Content Producer to administer our social media accounts. You will be responsible for creating original text and video content, managing posts, and responding to followers. You will manage our company image in a cohesive way to achieve our marketing goals. As a Social Content Producer, we expect you to be up-to-date with the latest digital technologies and social media trends. You should have excellent communication skills and be able to express our company’s views creatively."
Customer Engagement Associate,Property Finder,"Cairo, Egypt",Full-time · Associate,null,63 applicants,"About the job
Position Summary
As a Customer Engagement Associate you will act as the first point of contact for our customers by educating them on products, services and experiences. Answering their queries through phone, chat or email. You will be responsible for resolving a wide variety of customer issues and educating them to resolve issues themselves. You have to ensure that customer interactions are managed in a timely manner according to the guidelines and policies to meet Service Level Agreement across the company. Also, the individual needs to be comfortable presenting products and services over the phone."
Travel Advisor,Teleperformance,"Cairo, Egypt",Full-time,null,11 applicants,"About the job
Are you looking for a place where you can make a HUGE amount of money within a short period of time? Teleperformance Egypt is hiring now a Travel Advisor
Our basic salary is 6000 + 3000 EGP Quarter bonus. Join Teleperformance and get 9K & have the chance to get promoted to a senior title and also get the below benefits:"
Digital Project Manager,Philip Morris International,"Cairo, Cairo, Egypt",Full-time,null,10 applicants,"About the job
Do you have a passion for brands and the history they represent? Are you an excellent communicator with exceptional analytical skills, curious and achievement oriented? Do you want to make a difference in our organization and contribute to building something new? If the answer is yes to all these questions, then we would like to hear from you.

We are looking for an experienced Digital Project Manager based in Cairo. A Bachelor’s degree and a minimum of 8 years of professional experience in a similar role is required, together with excellent command of English and Arabic. Candidate should be a team player and demonstrate agile ways of working.

RISE TO THE CHALLENGE

You will be part of the Marketing team of “Philip Morris Misr” and will report to the eCRM & Web Manager.

For this position, we expect you to be a tech-savvy professional with an in-depth understanding of how technology can help us achieve our business goals. You should be methodical and have excellent time management skills. As a Digital project Manager, you should also use your communication skills to collaborate effectively with various teams.

As part of the Digital team, the role of a Digital Project Manager is to ensure all of the necessary deliverables for a project are completed and handed over on time and on budget. You will be working closely and in partnership with IT teams who will support in your deliverables.

More specifically you will




REGIONS Regional scope, Egypt & Levant, based in Egypt

FIND A NEW PATH

Our organization offers you a fresh perspective. Here, you will never stop exploring and discovering. We take the concept of on-the-job learning to another level, giving you every opportunity to develop your career and reach your full potential. With innovative technologies, services, and processes, together with a competitive salary and compensation package, you will have the opportunity to interact with some of the best minds in the business, learn from them and add value."
Team Member (Hourly ),General Motors,"Giza, Al Jizah, Egypt",Full-time,null,38 applicants,"About the job
Job Description

Validation driver and technical inspector with the below qualification :

Validation driver with technical background

Has valid commercial driving license

Defensive driving certificate ( Mandatory )



Minimum high school

Higher education is preferred

Able to work on Microsoft office



Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.



We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.



General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteeropportunities.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities."
"ETIC, Microsoft MSD CE Developer - Associate(Egypt)",PwC Middle East,"Cairo, Cairo, Egypt",Full-time · Associate,null,9 applicants,"About the job
Line of Service

Advisory

Industry/Sector

Technology



Advisory - Other



Associate





PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit a Microsoft MSD CE Developer to join our team in Cairo. The successful candidate will have between 1 and 3 years experience in delivering complex Microsoft solutions. Candidates may also be recent University Graduates in a relevant discipline such as Computer Science or Cloud technologies, with an interest and aptitude for Architecture and understanding detailed technical concepts such as Integration and Data Migration.

You will be part of a team that reports to the Microsoft delivery service leadership and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East.












Degrees/Field of Study preferred:











Not Specified



Yes



No"
"Executive, People Relations",noon,"Cairo, Egypt",Full-time · Executive,null,Over 200 applicants,"About the job
About noon

noon.com is a technology leader with a simple mission: to be the best place to buy and sell things. In doing this we hope to accelerate the digital economy of the Middle East, empowering regional talent and businesses to meet the full range of consumers' online needs."
Customer Support Specialist with German - Sorted - Egypt,Deel,"Cairo, Cairo, Egypt",Full-time · Entry level,null,52 applicants,"About the job
Who's behind Deel?

We're a global team that loves to build and solve problems, especially when it comes to the world of remote work. Made up of self-driven people spanning 50+ countries, Deel's unified yet diverse culture keeps us continually learning and improving.

Companies should be able to hire the best talent anywhere in the world, so we're building the tools to make that a reality. Our market-leading tech, expertise, and, most importantly, the team are crucial. As a whole, we find fulfillment in working together towards our shared mission.



A significant shift has occurred within today's workforce, and with it, business as we know it has drastically changed. At Deel, we see a world without hiring borders, but we needed to find a solution to make it happen. A 30-mile hiring radius should no longer limit how companies hire because great talent lives everywhere. Deel exists to stay on top (and ahead) of the accelerating global talent market by offering global teams all the tools needed to hire, manage, pay, and scale at rocket speed.

And speaking of scale, Deel has officially raised $425 million in Series D funding, bringing our valuation to $5.5 billion. There's never been a more exciting time to join Deel - the market leader in international payroll and compliance.















At Deel, our workforce deserves fair and competitive pay that meets them where they are, no matter their location. With scalable benefits, rewards, and perks, our total rewards programs reflect our commitment to inclusivity and access for all. Because a good life brings great innovation.




Perks are nice, but perks don’t make a company or individual successful - the work does. At Deel, we’re building technology and products to engage the ever-changing global workforce and to ensure businesses may hire anyone anywhere. While you’re building for our customers, we’re building for you."
Special Projects/Category Manager,Careem,Egypt,Full-time · Associate,null,39 applicants,"About the job
At Careem, our mission is to simplify and improve the lives of people, initially through solutions that make

transportation in the region reliable, and over time, through disruptions in payments and logistics. In the

process, we want to build an organisation that inspires and becomes a world-class institution from the

region.

Founded in 2012 by former entrepreneurs and McKinsey alumnus, Careem is the MENA regions leading

ride-hailing service and newest Tech Unicorn. With 30% monthly growth, we now operate in 50+ cities

across 11 countries and host over 6 million users. With our recent Series D funding success, we are

positioned on the cusp of significant scale and well on target to deliver our goal of creating one million jobs

in the region by 2018.

Join us in building a world-class institution in the Middle East and experience the thrill of being part of a

high-growth technology company, to improve people's lives.



The purpose of the Project/Category Manager role is to lead the Marketing initiative within a designated region.

Understanding what activities increase our revenues and building a strategy with deep insights into what

works and doesn't work for the specific market. This role requires a high level of market understanding and

requires a diverse skill set across multiple areas, including social media marketing, PR, event planning,

strategic and conceptual thinking, content creation, and relationship management.





with people on all levels

communicate a compelling vision

Marketing/commercial"
"ETIC, AWS DevOps Engineer - Associate (Egypt)",PwC Middle East,"Cairo, Cairo, Egypt",Full-time · Associate,null,18 applicants,"About the job
Line of Service

Advisory

Industry/Sector

Technology



Advisory - Other



Associate





PwC is opening a new Technology & Innovation Center in Cairo that will deliver high quality technology solutions to consulting Clients across the globe. The Centre will provide a broad suite of skills and services to our clients, ranging from Packaged Applications such as SAP & Oracle, to Cloud services utilising AWS, Azure and Google, as well as expanding our existing Managed Services capabilities.

The center is looking to expand rapidly and we are looking for enthusiastic self-starters with a passion for technology and client delivery to help shape and form this new venture.

We are seeking to recruit an AWS DevOps Engineer to join our team in Cairo. The successful candidate will be a University graduate at the start of their professional career. They will hold a qualification in a Software Engineering/Computer Science/DevOps related discipline and be keen to develop their career within the AWS domain.

You will be part of a team that reports to the Cloud Service Delivery Director and will be an integral part of the team based in Cairo, as well as those delivering client transformation programmes across the PwC Global Network, including the UK, Germany and Middle East.













Degrees/Field of Study preferred:











Not Specified



Yes



No"
Outside Sales Representative,Prifix Electronics,Egypt,Full-time,null,25 applicants,"About the job
in all over the country
Establish, develop and maintain positive business and customer relationships with his assigned Account(s)
Daily and frequent proactive Visits to assigned Account branches
Keep an updated database for his Account(s) and share it with management when requested"
