Job title,Company name,Location,Remote/on site,Date,Applicants,Full/Part time,Sector,Seniority level,JobDescription,Links
Senior Frontend Developer,Untap Technologies,"Cairo, Egypt",Hybrid,2022-03-20,53 applicants,Full-time,Null,Null,"
At Untap, we're building innovation management software to help organizations tap into brilliant-minded innovators and discover creative solutions to their most pressing challenges.
Untap is currently the #1 competition management platform in MENA. We power 100+ programs including open innovation challenges, creative contests, online hackathons, grants, scholarships, corporate innovation programs, startup programs, student programs, and more.
We're evolving from a competition management platform to power the entire innovation lifecycle enabling organizations to easily manage internal, open, and hybrid innovation in addition to creative talent discovery programs.
We're looking for passionate superstars to join our product team and help us get to the next level. We're a well-funded startup based in Cairo, Egypt. We provide great compensation, flexible working hours, and an unparalleled learning experience. We're building an environment where everyone feels like they belong and everyone is an owner. Interested to learn more? Head over to https://tech.untapcompete.com.
 ",https://www.linkedin.com/jobs/view/2970232168/?eBP=CwEAAAF_sYhqhxxhRCdW6DU_A2AETFHUHfdSkGvtZ__IAhmAiCbwjVsTCivxrb_hn_ohlbPFQWWND6CmbfOheSlvatqX-UHK5P8RJOAN2QxLLJfVcufzk-yTCflpWFvZjvplwsv3ZuRRsf_pxQzXWyor6BasDp-8X8hOmnunMRzgcU8msPYa7LXHsGtzpE2CjEEfOJAeoh00LLWqUTUr6jul54-JxXg_ymyDvczuHyMXlF80SmkLNVMXDCb_nq9VpoSYioP_SN-Z78rChnG1RstnAnbo8JiQ7OW37hHpJOghl5FmFYpA_r0weU5y0AwdgqMCtLheXB1u8pV2fhqXUNo6g6svpcdFKDpAhrGnDizLDvj1V9cfPIDXAhDzfWX0j_CUXB2sDY8fNHHT_FjbF_Q7Vvu6&recommendedFlavor=SCHOOL_RECRUIT&refId=uMDeym8sh%2BlYzCLLbvWUxg%3D%3D&trackingId=Yx8%2FTb1EX7CIw%2Fxhp8m92w%3D%3D&trk=flagship3_search_srp_jobs
Internet Analyst Remote Opportunity | for Arabic Speakers in Egypt,Appen,"Alexandria, Egypt",Remote,2022-03-01,185 applicants,Part-time,IT Services and IT Consulting,Associate,"
About Appen Appen collects and labels images, text, speech, audio, video, and other data used to build and continuously improve the world’s most innovative artificial intelligence systems. Our expertise includes having a global crowd of over 1 million skilled contractors who speak over 235 languages, in over 70,000 locations and 170 countries, and the industry’s most advanced AI-assisted data annotation platform. Our reliable training data gives leaders in technology, automotive, financial services, retail, healthcare, and governments the confidence to deploy world-class AI products. Founded in 1996, Appen has customers and offices globally.We are seeking individuals who are looking for an exciting work-from-home opportunity. Our mission is to deliver the best data solutions and expertise to developers of AI for communication, driven by our passion for innovation and our love of languages.  We are still massively hiring and looking for more people to apply to our great opportunities, you can also invite your friends, as many as you like so they can also experience the opportunity to earn extra income while being at home!Here are some examples of the opportunities available:💻 Search Engine Evaluation (Help us improve search results) 📱 Social Media Evaluation (Help improve social media around the globe) 📝 Translation 🎧 Transcription  💻 Survey and Data Collection Data Collection Projects (e.g., voice recording, image collection, etc.) 💻📝 Linguistic Specialties Linguistic Specialties (Text to Speech, Computational, Phonetics, Pronunciation, Annotation, etc.)Qualifications:· No work experience or college degree is required.· Fluency in English and your locale language skill· Linguistics Degree may be required for our linguistic projects BUT not required for other projects.Perks: Flexible working hours Work from home You can apply/work while you are working full time or studying! Apply many projects as many as you can!  📌How do I apply? Simply click the APPLY button and complete a short registration  https://connect.appen.com/qrp/public/jobs?sref=450ec88c630327889d0797bc1206fa9cChoose (Arabic) (Egypt) as your primary language. Or make sure to add all your native languages. when creating your profile in the system to show more available projects in your country. Once you completed the registration, you will be screened for eligibility.  Please watch this video on how to create a profile in Appen Connect: https://crowdsupport.appen.com/hc/en-us/articles/4408022443156  How do I create a profile in Appen Connect-VIDEO 📌How do I get started? *Once you complete the registration process, you will be able to receive feedback via email or direct through the Appen Connect platform. If you are also interested in applying for other projects, make sure that you complete your profile so you can unlock more projects for your account! “A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds.”  Thank you and we hope to work with you soon!
 ",https://www.linkedin.com/jobs/view/2932846456/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=uMDeym8sh%2BlYzCLLbvWUxg%3D%3D&trackingId=DzB9oxSLu4X8xnAUJE5l8w%3D%3D&trk=flagship3_search_srp_jobs
Sales Executive,DEALS HR,"Qesm El Maadi, Cairo, Egypt",On-site,2022-03-22,3 applicants,Full-time,Null,Null,"
A well known company working in the stationary field located in Heliopolis is looking to hire "" Sales executive "" Location : HeliopolisWorking hours : 9:30 to 5:30Days off : Friday & SaturdaySalary : 4000 + TransportationBenefits :Social Insurance + Commission + Transportation
Requirements : Experience : 0 to 3 yearsGood Command of English Language Fresh grade are most welcome
Job Description : . • The Sales executive is responsible for helping build up a business by identifying new business prospects and selling product to them . They must maintain relationships with current clients and build and maintain relationships with new clients . • Target corporate companies to deal with them • Build and maintain professional networks . Meet with potential clients to determine their needs .
If your qualification met this criteria , Apply on LinkedIn or visit our website For more details and APPLY please click on this link : http://www.dealshr.com/jobDetails.asp?id=3459
 ",https://www.linkedin.com/jobs/view/2978866324/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=uMDeym8sh%2BlYzCLLbvWUxg%3D%3D&trackingId=SQ28U%2FSP9pxBQf%2BTogOjXA%3D%3D&trk=flagship3_search_srp_jobs
Art Director,ExpandCart,"6th of October, Al Jizah, Egypt",Hybrid,2022-03-17,88 applicants,Full-time,Null,Null,"
Translate marketing and branding strategies into innovative and impressive campaigns that stimulate targeted audiences.Generate clear ideas and concepts in tandem with the Brand Managers and Digital Channel team.Produce sketches, storyboards, roughs to visualize ideas.Understand marketing initiatives, strategic positioning and target audience.Cooperate with the rest of the creative team across different types of media.Take work from concept to final execution within deadlines.Manage and delegate responsibilities to other designers and provide directions Present completed ideas to clients/team membersStay on top of all trends and maintain best practicesResponsible of a whole team of graphic designers and monitor their work.Research current trends and new technology, such as printing production techniques, computer software, and design trends.Job Requirements:5+ years of Proven working experience as Art Director.Hands on experience with logo design, typography, color, web layout design, print production, image selection and package design.Proficient use of InDesign, Photoshop, Illustrator or other visual design.Demonstrable graphic design skills with a strong portfolio.Strong communication and presentation skills.

 ",https://www.linkedin.com/jobs/view/2975944932/?eBP=CwEAAAF_sYhqhwL3vB-Jea68qcBRUmvYRKX4eVRv2BSrhzgCroWkJUPFKVT_T4ZeoIi6vPJTTStF75cHmve5d_mrIZlKtvx3UR5R62h4c4fY10TKxTwOfnqwNrUxw4_OCpNSeHV0MZwa_Q38HFyFa_OlZKrfZjwombRKzirA0PNyiEBlBA4SS2E7pbHvZoWOafkWwOEUZjFxEcdOhnfZjTh3cm3h6AL2vC8-Lm8H3n_3d5D0dR0gyhV0SQ4k8PsqzSBlR7uRUdSyW1aTXRqI7RXfUOBcAjNfoZGBOMNTGuSNzuvaXN_0Emo78nsNEEqlPtcIm_8_qB-Dl6-yXEW-EgGIDIHSXPOByfYAjxRF5usaYMWTqGV5t5a2wpX9gu2SYUxDEY-vkjfxWO6FSOX1L32FUhmKVQ&recommendedFlavor=SCHOOL_RECRUIT&refId=uMDeym8sh%2BlYzCLLbvWUxg%3D%3D&trackingId=5V9Z%2B3K1o%2BLjX69H%2Ffjvdw%3D%3D&trk=flagship3_search_srp_jobs
Sales Representative,Helper IT Solutions,"Cairo, Egypt",On-site,2022-03-15,54 applicants,Full-time,Null,Null,"
HELPER IS HIRING !!!We are looking for a sales representative
Job Description:We’re seeking a qualified sales representative to help us sell the products and services that our customers have grown to rely on. The sales representative will have a strong understanding of the sales process, excelling at generating leads, building relationships, and closing deals. The ideal candidate will be a quick learner with strong negotiating skills, and the ability to showcase our offerings in a compelling way. Often tasked with giving presentations, attending networking events, and attending trade shows, it’s essential that our sales rep be personable and professional.
Job Requirements2-5 years in sales within a software settingExcellent communication, interpersonal, problem-solving, presentation, and organizational skillsPersonal integrityProven success rate at levels above quotasAbility to balance persuasion with professionalismStrong organizational skills
 ",https://www.linkedin.com/jobs/view/2959339267/?eBP=CwEAAAF_sYhqhw_5eHw8ldw7rqR144mVEZu_duTb9V-vcSJgO_AFWi3kTzpJRwwarumWLe-ge_YZ6m5LhOKyPom4QIWHdec1Z5M3-TrW5_kVxcYzzWvLiyaRrvK_Otb5FMUd1cbZKYPiV73hPmzv_CpKr9_x71Wc2SVWgdDD3a3FBlyo-ajousz9sfd6kjcE5mlthrQjHZa5iRialFXZ3h6b6gbUcYXhDo-e1hq8iX8rad4ZqhLw7KSPEl6e1mIk_E5PctNkdfaL9Vd3Ls-nox0e7k_yHoPwZFXfZKcVAYvs5vrHaT7dXgCViCHbK-MZN6xpkvmK9b7S3jF2giqdh5EAmHwmQTq8iukY_yvTOORW55hp33Kwz8CEC30vN5VG5PGsgfx1iCVvUcdYu8-uJORdclVXLg&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=uMDeym8sh%2BlYzCLLbvWUxg%3D%3D&trackingId=WvekaqiprIdtOuabdLOUiQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Account Executive Luxury Leisure Brands,Tribe X Digital,"Cairo, Egypt",Hybrid,2022-03-18,65 applicants,Full-time,Null,Null,"
Are you fascinated by the luxury leisure field? Do you want to work with the largest luxury travel, hospitality, and real estate brands on complex online campaign setups and reach niche audiences in over 40 countries?
We are building the best end-to-end marketing presence for our clients and you can be a part of our team. This is why we need you: a Senior Account Executive. You will be responsible for solid campaign deliveries for a variety of accounts. You are a detail-oriented problem-solver with a creative mindset that fits luxury brands. 
And yes, you will be joining a dynamic team, one in which your talents and knowledge will be embedded, appreciated, and transcended. Our tribe has grown significantly over the past years in the US, UK, EU, and Middle East. We have created a portfolio of global names in the luxury and leisure field like Hyatt, Sotheby’s, Four Seasons, Aero, and more! We are not stopping there, and neither should you.
ResponsibilitiesBuilding a thorough understanding of the client’s business and how it operates within the market it exists inDeveloping trusting client/agency relationships by efficiently meeting the day-to-day client needs in a timely mannerUnderstanding the objective of client requests by asking the necessary questions and properly briefing the team internally on new client requestsManaging content creation workflow (from brief to delivery)Creating monthly content calendars adhering to the brand’s tone of voiceDelivering reports and analysisManaging and creating media buying campaigns Taking initiative to improve the process around clients’ day-to-day requests
RequirementsMinimum of 2-year's experience as a Social Media Specialist or a Digital Marketer, or a minimum of 3-year's experience in the marketing industryAffinity for luxury brandsStrong communicatorProblem solverPassionate and creative Result-oriented Basic media buying skillsExcellent spoken and written English skills
We offerA great working environment with an international team of high performersFast-growing and challenging projects from well-known international brands to start-upsAn appreciative and collaborative corporate culture with a “Can Do” attitudeAdvancement training and career growth opportunitiesFlexible working hours and remote work optionsA competitive salary
About Our TribeWe have been working with the world’s leading luxury leisure brands and disruptive tech startups in over 40 countries including the US, EU, GCC, UK, for more than 10 years.Tribe X presents the science of digital fused with the art of content. We already have been growing, adapting, and making an impact with stunning visualizations and representations for our clients' online presence, and we're looking for someone with the same mentality and approach.
About Our VibeWe are eager to recruit the most talented experts in the game. But we are also looking for a perfect Tribe X fit. Someone who is eager to learn, takes initiative, inspires others, strives towards a better world, takes the stage, is a futurist at heart, and wants to help expand the Tribe around the world.Values are what we value. There are no big egos here, just a group of people looking to be at the forefront of digital innovation and creativity. We’re a highly inquisitive bunch, regularly hosting inspiration sessions, training programs, and team-building activities. We strongly support diversity and are committed to creating an inclusive environment for all employees.  Are you eager to join? Apply with your up-to-date CV and cover letter through the Apply link.For further questions, contact Emil Diephuis at emil@tribexdigital.com
 ",https://www.linkedin.com/jobs/view/2973106767/?eBP=CwEAAAF_sYiExxcM_-vEboBkZGu36X0tqfdtEdfrbwY59ZAFQhYozC7yrH0SRtQQxp306UNrYyZuQEPwE-C0_F_kVgadyOXVlHmh3scnRhFwe9fV_DwdnyU8Xc0Q2EfikOCGYa1uRQtj1FxaFXOiLFGiZdryHG_gzHvFpSvBqgYiZf9M06rvZ9QmaetV1QwURV_Tj0gDqIhmAagqSyWCAemuploOMI6sBJ92LUkObQ5nEIWFzxTPtgxE5Eohf73DEQOzuqwkWFsnVCgD32ekDZe-5-USC6dvhpmCWFAa-bXYECFaJtwFJFysGFPtE9Oxvb3ep2vNzZS0fLEdraJ0AMgzqnrv5kRWjjP9-YTXuYRMKyOPVvQHLyYDuO4Dm_LfjMNsBwnmttjABKmpUIZDjmUS7FKibw&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=0zGip1yGJW%2BYT1jOovxyBA%3D%3D&trackingId=MtMmKVdknF08ZBF%2FhQ0dig%3D%3D&trk=flagship3_search_srp_jobs
Food Scientist,Null,Egypt,Remote,Null,Null,Null,Null,Null,Null,https://www.linkedin.com/jobs/view/2980111338/?eBP=CwEAAAF_sYiEx0npd6ydd9ziXi3RpvwDVKMRoaNKtS8wIR_vrC1p8RhzOfqJ5OrOQVu75obw4xceGxKZ_ar9vckurILoVZAKdBBsWUGoPoeT9n3TH6DsJmRa18M3ROfqBCqtM4xwv4dd2yfQwLwepxYLjdpdwSvSTrFApW2ZZaeqfh-wro1CAn-OpZmfAfAkms96uSHbNyUl_AipObbkederJqHcQ9dquOaMTc4L7fvQ5X6KRVFVK0LEWv084TaxLF7h3bE1NHxzO9qAQ9JKngM_y9UYguoFcrzZ98v2AFwptrAjooE8Sw2o-iUR1DJYFL_uNbilsmlnpXC21V0YbFCQmrfKdaTo_-mfkeveEbMX4Mb91Tt1Bze4Tls5aL-fkb9VzEgmKWk0KaLHWXVa-k7T2IijKEeqlmE&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0zGip1yGJW%2BYT1jOovxyBA%3D%3D&trackingId=eCEDhc19Ot0oqgtwsQ9KpA%3D%3D&trk=flagship3_search_srp_jobs
User Experience Designer,Untap Technologies,"Cairo, Egypt",Hybrid,2022-03-20,104 applicants,Full-time,Null,Null,"
At Untap, we're building innovation management software to help organizations tap into brilliant-minded innovators and discover creative solutions to their most pressing challenges.
Untap is currently the #1 competition management platform in MENA. We power 100+ programs including open innovation challenges, creative contests, online hackathons, grants, scholarships, corporate innovation programs, startup programs, student programs, and more.
We're evolving from a competition management platform to power the entire innovation lifecycle enabling organizations to easily manage internal, open, and hybrid innovation in addition to creative talent discovery programs.
We're looking for passionate superstars to join our product team and help us get to the next level. We're a well-funded startup based in Cairo, Egypt. We provide great compensation, flexible working hours, and an unparalleled learning experience. We're building an environment where everyone feels like they belong and everyone is an owner. Interested to learn more? Head over to https://tech.untapcompete.com.
 ",https://www.linkedin.com/jobs/view/2970232354/?eBP=CwEAAAF_sYiEx9GMeWoW0G3kdc7s3IzBkUadGmfQGzbkHisq2WvnyF2OToA7Q67r0bwe6SjCvjF2ZVuc19OSj2UPOS_b9C0F-YXD4cXfdCd5-F3sqqsaqN4rncwf3vxwR1OwuuXyvBGooIb9R11YXGbgdRniQ883xy8hG06zIjRN7xEDHizba1QzR-ec1wO2hz5gRZ24WtcX_vCJeV7HwdvKXrZDR7IgzXrsp_VhDbcT64PZVJsrFU5TNYOAJedm-zhTBubKWGD-KUH8rfbTUgu7lcIeEh-5xbh-5dpptaQXjxgwmiTzMuwNnNOtvpNTLV0K-OV_X9TXhIpfAgwTJATV08FGrEgK_OYc50jG-rsC0_uc53oyA7C1_t4J5QHIKecG8JTuynFNlPZ1jCKfhZtPTI4&recommendedFlavor=SCHOOL_RECRUIT&refId=0zGip1yGJW%2BYT1jOovxyBA%3D%3D&trackingId=F31V1qtZQpiYh7lQU7%2FpYg%3D%3D&trk=flagship3_search_srp_jobs
English Recruiter - Agent hiring team (contact center),Concentrix,"Cairo, Cairo, Egypt",Null,2022-03-15,Over 200 applicants,Full-time,IT Services and IT Consulting,Associate,"
Essential Functions/Core Responsibilities
Responsible for assisting with implementation and administration of recruitment programsReceive, screen, and file incoming resumes, background, and reference checksConduct initial screening interviews, telephone interviews, and/or face-to-face interviews with prospective applicantsAssist with recommendations to hiring manager on candidate hire, and partner with appropriate stakeholders to offer competitive compensation packages and facilitate negotiation with candidatesLeverage various resources - internet, community organizations, print media, formal/informal networks, colleges, trade associations - to directly and indirectly source qualified candidatesEnsure the maintenance of accurate and concise records and reports concerning all phases of the recruitment process, working within the Applicant Tracking System (ATS) and HRIS toolsMaintain consistent standards for all applicants and ensure compliance with all local rules and regulations related to hiring and recruitingResponsible for developing and applying an in-depth knowledge of the job specifications to include experience, skills, and behavioral competencies needed for success in each rolePromote the Company image to candidates and external service providers and ensures that the Company is represented in the most accurate and appropriate way to all candidates and personally drives the highest standards of ethical behavior for all involved in the recruiting process
Candidate Profile
Less than two years of relevant experienceSource and interview big number of candidate adapting with the high demandBachelor's Degree preferredStrong communication skills, both written and verbal (C1)Ability to multi-task, prioritize, and meet timelines on deliverablesProficient in Microsoft OfficeSelf-starter, sense of urgency, works well under pressure, ability to work in high-velocity environmentSense of professionalism and ability to develop relationshipsStrong attention to detailAbility to handle and maintain confidential information
Careel Level Description

Performs routine assignments in the entry level of the Professional Career Band. Uses existing procedures to solve routine or standard problems. Typically requires a college or university degree or the equivalent work experience that provides knowledge and exposure to fundamental theories, principles and concepts. Develops competence by performing structured work assignments. Receives instruction, guidance and direction from others.

Disclaimer 

The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of personnel working within this job title.

Concentrix is an equal opportunity employer. Concentrix evaluates qualified applicants without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity or expression, protected veteran status, disability status or any other legally protected characteristic.
 ",https://www.linkedin.com/jobs/view/2582934497/?eBP=CwEAAAF_sYiEx637ugw5kli7nNWa-5dPKkbHgjWmb2zof768MxmWaBhGMQeyRhFjk73e0072OPAQL-uFo-buqMUP58a4RQVQZnPivxM-rS1balDi81y0gZLlhdAlPULzYqHUq8WGDvGrhgzYL22017sjBHmwiiZ4sKzr6Tu-z2AYkV65matrPluJWf5lhdDwm4ghuytR8Mm135jcONBrnSnDPOwamdtLP7DqJF1YhL4chhdU4BV1BNR06JnqNeCWRu4SgwSoQFtU8S-5VaZ0-NzafXljdaPdAI2q3b2zmvlT6mRyE-SdGgARPXQcxSDAfR501jrJn5UZC7X7CvBn-j1qv-jrkmj3vhSfuEhc20eortFB3PdNz49aaZ1w8OmR95U&recommendedFlavor=SCHOOL_RECRUIT&refId=0zGip1yGJW%2BYT1jOovxyBA%3D%3D&trackingId=aDpUkUpj8vxUc%2FX%2FStdW8A%3D%3D&trk=flagship3_search_srp_jobs
"Senior/Staff/Lead Front End Engineer – Data Experience Team (Bangkok based, relocation provided)",Agoda,"Alexandria, Alexandria, Egypt",Null,2022-03-22,Over 200 applicants,Full-time,Internet Publishing,Mid-Senior level,"
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team 

The Data department oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity 

In this role, you will be involved in the design, architecture, coding, testing and operations of our global-scale software systems to support the innovation and technical excellence that the rapidly changing field of online travel requires.

In This Role, You’ll Get to 

Design, develop and operate the solutions used by millions of people every dayBig Data and Machine Learning processing pipelinesData Driven changes to the applicationConstantly look for ways to improve our products, code-base and development practicesWrite great code and help others write great code

What You’ll Need To Succeed

Bachelor’s degree in Computer Science/Information Systems/Engineering/related field or relevant experienceStrong coding abilityMore than 6 years experience in Frontend Development Experience or willingness to learn JavaScript (ReactJS)/Scala/Spark/Kafka and related technologies (if not already known)Able to quickly and effectively read codeGood understanding of algorithms and data structuresAbility to separate hype from reality

It’s Great If You Have

Any experience with ‘Big Data’ technologies / toolsAny experience with JavaScript client and Server-side technologies is a plusStrong experience in JVM languages (Java / Scala in particular)Experience working with Lambda ArchitecturesExperience working with open source productsWorking in an agile environment using test driven methodologiesExperience using Git

A few of the technologies we use:

React, Scala, Play, Spark, Kafka, Couchbase, Hadoop, Impala, Elasticsearch, Kibana, Grafana, MSSQL

#sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #shanghai #beijing #shenzhen #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #hongkong #budapest #jakarta #bali #dublin #telaviv #milan #rome #venice #florence #naples #turin #palermo #bologna #tokyo #osaka #kualalumpur #malta #amsterdam #oslo #manila #warsaw #krakow #bucharest #doha #alrayyan #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #singapore #capetown #johannesburg #seoul #barcelona #madrid #stockholm #zurich #taipei #tainan #taichung #kaohsiung #bangkok #Phuket #istanbul #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #lodz #wroclaw #poznan #katowice #rio #salvador #newdelhi #bangalore #bandung #yokohama #nagoya #okinawa #fukuoka #ENG #IT #4

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.

 ",https://www.linkedin.com/jobs/view/2975681040/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0zGip1yGJW%2BYT1jOovxyBA%3D%3D&trackingId=rfnlmQ6%2BGmqknwZon8Jdlg%3D%3D&trk=flagship3_search_srp_jobs
Conseillers Clients francophones - Nouveau Caire,Webhelp,Egypt,Null,2022-02-22,4 applicants,Full-time,Outsourcing and Offshoring Consulting,Associate,"
            Pourquoi nous rejoindre

Vous souhaitez développer votre carrière en technologies financières ? Alors rejoignez nos équipes dynamiques et multilingues au Nouveau Caire. Vous vous épanouirez dans une communauté internationale soucieuse de développer votre carrière et de votre bien-être.

Nous recrutons des Conseillers Clients pour notre Client, un innovateur dans les transferts d'argent en ligne, plus facile et à moindre coût.

Votre mission chez Webhelp

Chez Webhelp, votre contribution fera la différence dans les opérations de nos clients et dans la vie de leurs clients. Vous travaillerez sur un projet pour un fournisseur de paiements digitales qui opère dans 150 pays à travers le monde avec plus de 4 millions de clients satisfaits.

Votre mission est de gérer la relation client pour le compte de nos clients donneurs d’ordre. Vous devez répondre aux exigences de qualité et d’efficacité opérationnelle définies entre Webhelp et son client.

Ce que vous ferez chez Webhelp

En Tant Que Conseiller Client , Vous Allez
Suivre les procédures, les lignes directrices et les politiques de communication de l’entreprise.Écouter et apporter des conseils personnalisés aux clients.Leur apporter une assistante sur différentes thématiques, tel quel que le transfert d’argent, l'épargne ou les crédits.Gérer des dossiers (crédits, assurances, placements).Innover avec de multiples propositions : conseiller à nos clients des outils et services personnalisés dans une démarche de qualité afin de les fidéliser.Analyser la situation financière des clients et les risques liés aux opérations.Participer à la création d’un engagement de marque pour notre Client
Ce que nous cherchons

Votre empathie naturelle et votre capacité de réflexion vous mèneront loin dans votre aventure avec nous. Vous êtes à l’écoute et capable de vous adapter sans problème à différents types de personnes. Vous êtes également capable d'accomplir plusieurs tâches à la fois, d'établir des priorités et de gérer efficacement votre temps.

Vous serez parfait pour le poste si vous
Êtes natif français ou maîtrisez couramment le français (lu, écrit, parlé)Avez un bon niveau d’anglaisTraitez toutes les données et informations personnelles avec la plus grande confidentialitéÊtes rigoureux, engagé sur les résultats individuels et si vous avez le goût du challengeÊtes altruiste, vous possédez un bon sens relationnel, une capacité d’écoute ainsi qu’un bon esprit d’analyseAppréciez le travail en équipeTravaillez aisément avec les outils informatiquesAvez une précédente expérience similaire (serait un plus)
Vous partagez nos valeurs Think Human de reconnaissance , d'intégrité , d'unité , d'engagement et vous êtes prêts à créer le « wow » vous aussi. Plus que votre parcours, c'est votre motivation et votre personnalité qui nous aideront à construire ensemble quelque chose de grandiose dans la durée.

Ce que nous vous offrons
Un Paquet salarial mensuel compétitif et primes de performanceUne Stabilité de carrièreUne Assurance santéUne Formation rémunérée sur le projet de l'entrepriseUn Horaire à plein temps : vous travaillerez 5 jours par semaine, 9 heures par jour avec une pause d'une heureUn Environnement de travail dynamique qui vous permet d'apprendre et de vous développer professionnellement (80% de nos promotions sont internes)
Qui sommes-nous ?

Nous sommes une communauté internationale de plus de 60 000 personnes attentives et passionnées qui vous aident à atteindre vos objectifs. Basée en France, Webhelp développe des expériences client mémorables et des solutions commerciales pour certaines des marques les plus reconnues. Notre objectif est « make business more human. »

Rejoignez-nous à Webhelp Egypte et vous aurez l'opportunité de faire partie d'une équipe multiculturelle, d'un environnement dynamique et d'un groupe diversifié de projets engageants qui correspondront à vos ambitions de carrière.

Si cela vous tente, rejoignez-nous au Nouveau Caire !

Webhelp Egypte est un employeur garantissant l'égalité des chances.

Webhelp considère la diversité comme une ressource fondamentale et offre à chacun l'accès aux mêmes opportunités d'emploi, indépendamment de son sexe, de son âge, de sa religion, de son ethnicité ou de toute autre classification protégée par les lois nationales applicables.

Apply Share
 ",https://www.linkedin.com/jobs/view/2963240773/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=0zGip1yGJW%2BYT1jOovxyBA%3D%3D&trackingId=szwSri3Rk0diHA%2BYDPtLrw%3D%3D&trk=flagship3_search_srp_jobs
